Headword,Headword_Data,Definitions,Occurrences in the Aeneid
"Tiberīnus (Thӯbrinus, 12.35), a, um","Tiberinus (Thӯbrinus, 12.35), a, um","adj. (Tiberis), pertaining to the Tiber; Tiberine, 1.13, et al.; subst., Tiberīnus, m., the river-god, Tiber; the Tiber, 6.873.",1
"Thӯbris, idis, m.","Thӯbris, idis, m.","an ancient king of Latium, 8.330.",18
"Thӯias (dissyll.), adis, f.","Thӯias (dissyll.), adis, f.","a female worshiper of Bacchus; a Bacchante, Bacchanal, or Thyiad, 4.302.",1
"Thymber, brī, m.","Thymber, bri, m.","a Rutulian, son of Daucus, 10.391.",2
"Thymbraeus, a, um","Thymbraeus, a, um","adj. (Thymbra), of Thymbra, a town in the Troad, in which was a temple of Apollo; hence, Thymbraean, an epithet of Apollo, 3.85.",1
"Thymbraeus, ī, m.","Thymbraeus, i, m.","a Trojan warrior, 12.458.",1
"Thymbris, idis, m.","Thymbris, idis, m.","a Trojan, 10.124.",1
"Thymoetēs, ae, m.","Thymoetes, ae, m.","a Trojan, 2.32, et al.",3
"thymum, ī, n.","thymum, i, n.","the herb thyme, 1.436, et al.",1
"thyrsus, ī, m.","thyrsus, i, m.","the stalk of a plant; a staff wreathed with ivy and vine-leaves, and borne by Bacchus and his worshipers; the thyrsus, 7.390.",1
"tiāra, ae, f., and tiārās, ae, m.","tiara, ae, f., and tiaras, ae, m.","a headband or crown worn by the Asiatics; a tiara, 7.247.",1
"Tiberis, is (Thӯbris, 2.782, et al., idis, acc. -brim, voc. -bri)","Tiberis, is (Thӯbris, 2.782, et al., idis, acc. -brim, voc. -bri)",the river Tiber.,1
"tībia, ae, f.","tibia, ae, f.","the larger of the shinbones; a pipe or flute, as this bone was used for a musical pipe.",2
"Tībur, uris, n.","Tibur, uris, n.","a city on the eastern border of Latium, 7.630.",1
"Tīburs, tis","Tiburs, tis","adj. (Tībur), of Tibur, 9.360; n. pl., Tīburtia, 7.670; subst., Tīburtēs, um, m., the people of Tibur; the Tiburtines, 11.757.",1
"Tīburtus, ī, m.","Tiburtus, i, m.","the founder of Tibur, 7.671.",2
"tigris, is or idis, c.","tigris, is or idis, c.","a tiger or tigress, 4.367, et al.",4
"Tigris, is or idis, f.","Tigris, is or idis, f.","the name of a ship, 10.166.",1
"Timāvus, ī, m.","Timavus, i, m.","the Timavus, a river at the head of the Adriatic, northwest of Trieste, 1.244, et al.",1
"timeō, uī, 2, a. and n.","timeo, ui, 2, a. and n.","to fear, dread, 1.661, et al.; show fear or terror; to tremble, 5.505.",1
"timidus, a, um","timidus, a, um","adj. (timeō), subject to fear; fearful, cowardly, trembling, timid, 6.263, et al.",1
"timor, ōris, m.","timor, oris, m.","fear, apprehension, dread, anxiety, 1.202; personified, Fear, 9.719. (timeō)",11
"tingō, tīnxī, tīnctus, 3, a.","tingo, tinxi, tinctus, 3, a.","to wet; moisten, 3.665; wash, dip, bathe, 1.745; imbrue, 12.358.",7
"tinnītus, ūs, m.","tinnitus, us, m.","a jingling, rattling, jingle, clinking, 9.809. (tinniō, jingle)",1
"Tīrynthius, a, um","Tirynthius, a, um","adj. (Tīryns), of Tiryns, a town in Argolis, where Hercules was brought up; Tirynthian; subst., Tīrynthius, iī, m., the Tirynthian; Hercules, 7.662.",2
"Tīsiphonē, ēs, f.","Tisiphone, es, f.","one of the three Furies, 6.571, et al.",3
"Tītān, ānis, m.","Titan, anis, m.","a Titan, one of the six sons of Caelus and Terra; any descendant of a Titan; the Sun (son of Hyperion), 4.119.",1
"Tītānius, a, um","Titanius, a, um","adj. (Tītān), Titanian, consisting of Titans, 6.580; of Titanian origin, 6.725.",2
"Tīthōnius, a, um","Tithonius, a, um","adj. (Tīthōnus), of Tithonus; Tīthōnia coniūnx, Aurora, 8.384.",1
"Tīthōnus, ī, m.","Tithonus, i, m.","brother of Priam, lover of Aurora, by whom he became father of Memnon, 4.585, et al.",2
"titubō, āvī, ātus, 1, n. and a.","titubo, avi, atus, 1, n. and a.","to totter; p., titubātus, a, um, made to totter; tottering, unsteady, 5.332.",1
"Tityos, ī, m.","Tityos, i, m.","a giant, son of Jupiter and Elara, who was slain by Apollo for offering violence to Latona, 6.595.",1
"Tmarius, a, um","Tmarius, a, um","adj. (Tmaros), of Tmaros, a mountain in Epirus; Tmarian, 5.620.",1
"Tmarus, i, m.","Tmarus, i, m.","a Rutulian warrior, 9.685.",1
"togātus, a, um","togatus, a, um","adj. (toga), wearing the toga; of the toga, 1.282.",1
"tolerābilis, e","tolerabilis, e","adj. (tolerō), that can be borne; endurable, 5.768.",1
"tolerō, āvī, ātus, 1, a.","tolero, avi, atus, 1, a.","to sustain; support, maintain, 8.409; endure, 8.515. (cf. tollō)",2
"tollō, sustulī, sublātus, 3, a.","tollo, sustuli, sublatus, 3, a.","to lift up, raise, rear, 1.66, et al.; carry, bear, 1.692; bear off, 5.390; remove, 8.175; take or carry away, 3.601; lift, impel, 10.295; remove, take away; end, cause to cease, 12.39; destroy, cut down, 12.771; rouse, excite, 9.127; exalt, praise, extol, 3.158; p., sublātus, a, um, lifted up in spirit; haughty, proud, 10.502.",69
"Tolumnius, iī, m.","Tolumnius, ii, m.","a Latin chief and soothsayer, 11.429, et al.",3
"tonō, uī, 1, n. and a.","tono, ui, 1, n. and a.","to thunder, 3.571, et al.; of speech, 11.383; (with acc.), utter, invoke with a loud voice, thunder forth, 4.510.",1
"tondeō, totondī, tōnsus, 2, a.","tondeo, totondi, tonsus, 2, a.","to shear; finish, 1.702; clip, trim, 5.556; browse, feed upon, graze upon.",5
"tonitrus, ūs, m.","tonitrus, us, m.","thunder, 4.122, et al.; thunderbolt, 8.391. (tonō)",3
"tōnsa, ae, f.","tonsa, ae, f.","an oar, 7.28.",2
"tormentum, ī, n.","tormentum, i, n.","an engine for hurling missiles by means of twisted ropes; a catapult or ballista, 11.616; punishment by the rack, torture, 8.487. (torqueō)",3
"torpeō, uī, 2, n.","torpeo, ui, 2, n.","to be numb, torpid; unmoved, 9.499.",1
"torpor, ōris, m.","torpor, oris, m.","numbness; (fig.), dread, 12.867. (torpeō)",1
"Torquātus, ī, m.","Torquatus, i, m.","a surname of Titus Manlius, who wore the collar or torques of a Gallic champion whom he had slain in single combat, 6.825. (torquēs, a twisted collar)",1
"torqueō, torsī, tortus, 2, a.","torqueo, torsi, tortus, 2, a.","to wind, turn, twist, 4.575; roll along, 6.551; whirl, hurl, 3.208; shoot, 5.497; cast, dash, 1.108; direct, 4.220; turn away, 6.547; turn, cause to revolve, 4.269; control, 12.180; p., tortus, a, um, whirled, whirling, impetuous, 7.567.",43
"torreō, uī, tostus, 2, a. and n.","torreo, ui, tostus, 2, a. and n.","to burn, scorch, roast, parch, 1.179; rush, roll, 6.550; of a river bank, 9.105; p., torrēns, entis, subst., a torrent, 7.567.",3
"torris, is, m.","torris, is, m.","a firebrand; brand, 7.506. (torreō)",2
"tortilis, e","tortilis, e","adj. (torqueō), of twisted work, winding, 7.351.",1
"tortus, ūs, m.","tortus, us, m.","a twisting, coil, 5.276. (torqueō)",1
"torvus, a, um","torvus, a, um","stern, grim, wild; savage, lowering, 3.677; fierce, 6.571; shaggy, 3.636; adv., torvum and torva, sternly, wildly, 7.399; 6.467.",1
"torus, ī, m.","torus, i, m.","a bed, couch, 1.708; seat, 5.388; royal seat, throne, 8.177; bank, 6.674; the swelling part of flesh; a brawny muscle.",17
tot,tot,"(num. adj. pron., indecl.), so many, 4.182, et al.",46
totidem,totidem,"(num. adj. pron., indecl.), just, even so many; as many, 4.183, et al.",13
totiēns (totiēs),totiens (toties),"num. adj. (tot), so many times, so often, 1.407, et al.",10
"tōtus, a, um","totus, a, um","(adj.), the whole, total, entire, 1.128, et al.; tōtō corpore, with all one's strength, 12.920.",6
"trabālis, e","trabalis, e","adj. (trabs, a beam), of beams; like a beam, 12.294.",1
"trabea, ae, f.","trabea, ae, f.","a toga of purple cloth, or one of white cloth with horizontal purple stripes, worn by Roman dignitaries, and ascribed to the primitive Latin kings, 7.612.",3
"trabs, trabis, f.","trabs, trabis, f.","a beam; timber, 1.552; post, jamb, 1.449; trunk, 6.181; tree, 9.87; ship, 3.191.",11
"trāctābilis, e","tractabilis, e","adj. (trāctō, handle), that can be handled; indulgent, yielding, flexible, 4.439; nōn trāctābilis, unfavorable, inclement, 4.53.",2
"trāctus, ūs, m.","tractus, us, m.","a dragging, drawing, an extending; stretch of space, tract, region of land, sea, or sky, 3.138. (trahō)",1
"trādō, didī, ditus, 3, a.","trado, didi, ditus, 3, a.","to give over; give up, submit, 4.619; intrust, consign, 5.713.",3
"trahō, trāxī, trāctus, 3, a. (inf., trāxe for trāxisse, 5.786)","traho, traxi, tractus, 3, a. (inf., traxe for traxisse, 5.786)","to draw, pull; draw along, drag, 1.477; tear, 9.340; carry, sweep along, away, 2.307; bring, conduct, 6.753; lead, conduct, 2.457; draw, catch, 4.701; draw in, drink, of passion, 4.101; derive, 8.511; draw out; extend, protract, 1.748; spend, 6.537; trahere sorte, draw or assign by lot, distribute, 1.508.",41
"trāiciō, iēcī, iectus, 3, a. and n.","traicio, ieci, iectus, 3, a. and n.","to throw across, over; pass over, cross, 6.536; pierce, 2.273; transfix, 1.355; p., trāiectus, a, um, drawn or passed through, 5.488; transfixed, pierced, 9.419. (trāns and iaciō)",10
"trāmes, itis, m.","trames, itis, m.","a crossway; by-path or narrow way; a pass, 11.515; course, line, track, 5.610.",3
"trānō, āvī, ātus, 1, a. and n.","trano, avi, atus, 1, a. and n.","to swim or sail across, 6.671; fly across or through, 4.245. (trāns and nō)",3
"tranquillus, a, um","tranquillus, a, um","(adj.), calm, still, 2.203; subst., tranquillum, ī, n., a calm; calm weather, 5.127.",1
trāns,trans,"(prep. w. acc.), across, with verbs of motion, over, beyond, across; through, athwart, 7.65; of rest, on the other side of, beyond, 3.403.",4
"trānsadigō, adēgī, adāctus, 3, a.","transadigo, adegi, adactus, 3, a.","to drive through, thrust, 12.508; of the object which is stabbed, pierce, 12.276.",3
"trānscrībō, scrīpsī, scrīptus, 3, a.","transcribo, scripsi, scriptus, 3, a.","to transfer by writing; enroll, 5.750; transfer, convey, 7.422.",2
"trānscurrō, currī or cucurrī, cursus, 3, n. and a.","transcurro, curri or cucurri, cursus, 3, n. and a.","to run across; flash or shoot across, 5.528; traverse, 9.111.",2
"trānseō, iī, itus, īre, irreg. n. and a.","transeo, ii, itus, ire, irreg. n. and a.","to go across; go through, pass, 12.926; pass by, 5.326; pass away, 1.266; run over, 5.274; pass through, 9.413.",9
"trānsferō, tulī, lātus, ferre, irreg. a.","transfero, tuli, latus, ferre, irreg. a.","to carry over; transfer, remove, 1.271; give over, 2.327.",2
"trānsfīgō, fīxī, fīxus, 3, a.","transfigo, fixi, fixus, 3, a.","to pierce, transfix, 1.44.",2
"trānsfodiō, fōdī, fossus, 3, a.","transfodio, fodi, fossus, 3, a.","to dig through; run through, transfix, 9.544.",1
"trānsfōrmō, āvī, ātus, 1, a.","transformo, avi, atus, 1, a.","to change the form, transform, 7.416.",1
"trānsiliō, īvī, iī or uī, 4, n. and a.","transilio, ivi, ii or ui, 4, n. and a.","to leap over; pass over, 10.658; fly through, 12.859. (trāns and saliō)",2
"trānsmittō, mīsī, missus, 3, a. and n.","transmitto, misi, missus, 3, a. and n.","to send across; bear or convey across or over, 3.403; give over, 3.329; to cross, pass over, fly over, with acc. of the space crossed over, 4.154; to make across, of a passage or voyage, 6.313.",4
"trānsportō, āvī, ātus, 1, a.","transporto, avi, atus, 1, a.","to carry across or over, governing the acc. of the space crossed, 6.328.",1
"trānstrum, ī, n.","transtrum, i, n.","a cross-timber; a thwart, transom, or bench for rowers; bench, 3.289. (trāns)",6
"trānsverberō, āvī, ātus, 1, a.","transverbero, avi, atus, 1, a.","to beat or strike through; pierce through, 10.484.",3
"trānsversus, a, um","transversus, a, um","across the path or course, 5.19; crosswise.",1
"trecentī, ae, a","trecenti, ae, a","num. adj. (trēs and centum), three hundred, 10.173, et al.",1
"tremebundus, a, um","tremebundus, a, um","adj. (tremō), quivering, 10.522.",1
"tremefaciō, fēcī, factus, 3, a.","tremefacio, feci, factus, 3, a.","to cause to tremble or quake; to shake, 9.106; make to tremble with fear; cause to tremble, 6.803; p., tremefactus, a, um, trembling, 2.382; 10.102; quivering, 2.629. (tremō and faciō)",8
"tremendus, a, um","tremendus, a, um","to be trembled at; dreadful, fearful, terrible, 2.199. (tremō)",2
"tremēscō, 3, inc. n. and a.","tremesco, 3, inc. n. and a.","to begin to tremble; to tremble, quake, 5.694; to tremble at, 3.648. (tremō)",4
"tremō, uī, 3, n. and a.","tremo, ui, 3, n. and a.","to tremble, quake, shake, quiver, 5.198; tremble at, fear, dread, 8.296.",22
"tremor, ōris, m.","tremor, oris, m.","a trembling; quaking; tremor, a shudder, horror, 2.121. (tremō)",5
"tremulus, a, um","tremulus, a, um","tremulous, quivering, 7.395. (tremō)",3
"trepidō, āvī, ātus, 1, n. and a.","trepido, avi, atus, 1, n. and a.","to be in trepidation, alarm or panic, 10.788; to hurry, hasten to and fro or about, 2.685; to hasten (with inf.), 9.114; to strive nervously, make trembling effort, 12.403. (trepidus)",11
"trepidus, a, um","trepidus, a, um","(adj.), agitated, uneasy, disturbed, trembling, affrighted, 2.380; excited, tumultuous, 11.300; confused, in disorder, 10.283; alarmed, fearful of, anxious for, w. gen., 12.589; panic-stricken, 12.583.",25
"trēs, tria, gen. trium, acc. trēs","tres, tria, gen. trium, acc. tres","(adj.), three, 1.108, et al.",20
"tribus, ūs, f.","tribus, us, f.","one of three original grand divisions of the Roman people; and retained as the designation of similar bodies of the people when they were multiplied; a (Roman) tribe, 7.708.",1
"tricorpor, oris","tricorpor, oris","adj. (trēs and corpus), three-bodied, 6.289.",1
"tridēns, entis","tridens, entis","adj. (trēs and dēns), three-pronged, trident, 5.143; subst., tridēns, entis, m., a triple-pointed spear; trident, 1.138.",4
"trietēricus, a, um","trietericus, a, um","(adj.), triennial, 4.302.",1
"trifaux, faucis","trifaux, faucis","(adj.), found only once (trēs and faux), three-throated., three-voiced, triple, 6.417.",1
trīgintā,triginta,"(num. adj., indecl.), thirty, 1.269.",3
"trilīx, īcis","trilix, icis","adj. (trēs and līcium, thread), of three threads or leashes; of three layers of thread; three-ply; triple, 3.467.",3
"Trīnacria, ae, f.","Trinacria, ae, f.","the three-cornered land; Sicily, Trinacria, 3.440. (Τρινακρία, with three promontories)",5
"Trīnacrius, a, um","Trinacrius, a, um","adj. (Trīnacria), Sicilian, 3.384.",7
"triō, ōnis, m.","trio, onis, m.","an ox as the breaker of the sod in plowing; the “Team” or “Wain”; pl., Triōnēs, um, m., the constellation of the greater and lesser bear, 1.744.",2
"triplex, icis","triplex, icis","adj. (trēs and plicō), threefold, triple, 10.784, et al.",6
"tripus, odis, m.","tripus, odis, m.","a three-footed vessel or seat; a tripod, 5.110; the seat of the priestess of Apollo; an oracle, 3.360.",3
"trīstis, e","tristis, e","(adj.), sad, sorrowful, 1.228, et al.; melancholy, woeful, mournful; dismal, gloomy, 4.243, et al.; grim, stern, 6.315; dire, 2.337; inauspicious, 11.259; fearful, 3.366; fatal, 5.411.",44
"trisulcus, a, um","trisulcus, a, um","adj. (trēs and sulcus), three-furrowed; three-forked, 2.475.",1
"Trītōn, ōnis, m.","Triton, onis, m.","Triton, a son of Neptune, 1.144; pl., Trītōnēs, um, m., sea-gods of the form of Triton, 5.824.",4
"Trītōnis, idis, f.","Tritonis, idis, f.","Pallas or Minerva, so called from Lake Triton near the Lesser Syrtis in Africa, near which, according to an Egyptian fable, she was said to have been born, 2.226. (Trītōn)",1
"Trītōnius, a, um","Tritonius, a, um","adj. (Trītōn), pertaining to the lake Triton (see Trītōnis); Tritonian, an epithet of Pallas, 2.615, et al.; subst., Trītōnia, ae, Minerva, Tritonia, 2.171.",4
"Trivia, ae, f.","Trivia, ae, f.","an epithet of Hecate or Diana, whose images were placed at the forks of roads, 6.13, et al. (trivium)",9
"trivium, iī, n.","trivium, ii, n.","the intersection of three roads; a road-crossing; a public place, 4.609. (trēs and via)",1
"triumphō, āvī, ātus, 1, n. and a.","triumpho, avi, atus, 1, n. and a.","to have the honor of a triumph; with acc. of the country over which the triumph is held, to triumph over, conquer, 6.836. (triumphus)",1
"triumphus, ī, m.","triumphus, i, m.","the grand procession at Rome awarded to a victorious general; a victory, 2.578.",6
"Trōas, adis or ados, f.","Troas, adis or ados, f.","A Trojan woman, 5.613.",1
"Trōes, m.","Troes, m.","(subst.), the Trojans, 1.30, et al. (Tros, one of the kings of Troy)",27
"Trōia, ae, f.","Troia, ae, f.","1. Troy, the capital of the Troad, 2.625, et al. 2. A city built by Helenus in Epirus, 3.349. 3. A part of the city of Acesta in Sicily, 5.756. 4. The name of an equestrian game of Roman boys, 5.602.",87
"Trōiānus, a, um","Troianus, a, um","adj. (Trōia), Trojan, 1.19; subst., Trōiānus, ī, m., a Trojan, 1.286; pl., Trōiānī, ōrum, m., the Trojans, 5.688.",6
"Trōilus, ī, m.","Troilus, i, m.","one of the sons of Priam, 1.474.",1
"Trōiugena, ae, c.","Troiugena, ae, c.","of Trojan descent; Trojan, 3.359; Trōiugenae, ārum, c., Trojans, 8.117. (Trōia and cf. gignō)",3
"Trōius, a, um","Troius, a, um","(adj.), of Troy, Trojan, 1.119.",22
"tropaeum, ī, n.","tropaeum, i, n.","a memorial of the turning (cf. τρέπειν, to turn) or rout of an enemy; the trunk of a tree on which were hung the arms or spoils of an enemy slain; any memento of victory; a trophy.",7
"Trōs, ōis, m.","Tros, ois, m.","Trojan, 6.52, et al. (Tros, one of the kings of Troy)",7
"trucīdō, āvī, ātus, 1, a.","trucido, avi, atus, 1, a.","to slaughter, kill, slay, 2.494. (trux and caedō)",2
"trudis, is, f.","trudis, is, f.","a pole, boathook, pike, 5.208. (trudō)",1
"trūdō, sī, sus, 3, a.","trudo, si, sus, 3, a.","to thrust, shove, push, 4.405.",1
"truncus, ī, m.","truncus, i, m.","the stem, stock, or trunk of a tree; stem, trunk, 6.207; trunk of the human body, 2.557.",10
"truncus, a, um","truncus, a, um","adj. (truncus), stripped of its branches, 3.659; mutilated, maimed, mangled, 6.497; broken, shattered, 11.9.",3
"trux, trucis","trux, trucis","(adj.), ferocious, grim, stern, fierce, 10.447.",1
"tū, pers. pron. pl. vōs","tu, pers. pron. pl. vos","you, freq.; abl. with cum, tēcum, vōbīscum, with you; vōsmet, yourself, yourselves, 1.207.",419
"tuba, ae, f.","tuba, ae, f.","a trumpet, 2.313, et al.; trumpet-signal, 11.424.",9
"tueor, tuitus or tūtus sum, 2, dep. a.","tueor, tuitus or tutus sum, 2, dep. a.","to look at, gaze upon, behold, regard, 4.451, et al.; watch, guard, defend, maintain, protect, 1.564, et al.; p., tūtus, a, um, secure, safe; in safety, 1.243; sure, 4.373; subst., tūtum, ī, n., safety, place of safety, 1.391; pl., tūta, ōrum, safe places, safety, security, 11.882; adv., tūtō, with safety, safely, without danger, 11.381.",19
"tuī, ōrum, m.","tui, orum, m.","your friends, kinsmen, countrymen, descendants, etc., 3.488; freq. (tuus)",14
"Tulla, ae, f.","Tulla, ae, f.","a follower of Camilla, 11.656.",1
"Tullus, ī, m.","Tullus, i, m.","Tullus Hostilius, the third king of Rome, 6.814.",2
tum,tum,"(adv.), then, freq.; then too; at the same time, moreover, 4.250, et al.; referring to a perf. p., 5.719; answering to, cum, cum — tum, while — at the same time; both — and, not only — but; opposed to nunc, 10.14.",240
"tumeō, uī, 2, n.","tumeo, ui, 2, n.","to swell, 2.381; to be puffed up, boastful, 11.854; p., tumēns, entis, swollen, 2.381.",6
"tumidus, a, um","tumidus, a, um","adj. (tumeō), swollen, 1.142; distended, 10.387; elated, 9.596; incensed, angry, 6.407; causing to swell, swelling, 3.357.",12
"tumor, ōris, m.","tumor, oris, m.","a swelling; of the mind, passion, indignation, resentment, 8.40. (tumeō)",1
"tumultus, ūs, m.","tumultus, us, m.","commotion; uproar; outcry, 9.397; shouting, cries, 3.99; haste, 11.447; uprising, 6.857. (tumeō)",14
"tumulus, ī, m.","tumulus, i, m.","a rising ground; a low hill, 9.195; a mound, 2.713; sepulchral mound, sepulcher, tomb, 3.304; 11.103. (tumeō)",31
tunc,tunc,"(adv.), then, at that time; then, thereupon, afterwards, 11.208. (tum-ce)",8
"tundō, tutudī, tūnsus or tūsus, 3, a.","tundo, tutudi, tunsus or tusus, 3, a.","to beat, pound, bruise, strike, smite, 1.481; lash, 5.125; (fig.), importune, assail, 4.448.",5
"tunica, ae, f.","tunica, ae, f.","the under-garment of men and women; vest, tunic, 9.616; cuirass, corselet, 10.314.",5
"turba, ae, f.","turba, ae, f.","confusion, uproar, tumult, 5.152; a crowd, throng, 2.580; multitude, 6.305; herd, 1.191; flock, 3.233.",21
"turbō, āvī, ātus, 1, a.","turbo, avi, atus, 1, a.","to stir up, confuse, disturb, 3.449; scatter, 1.395; overthrow, 11.796; agitate, 4.566; perplex, 1.515; enrage, anger, 8.435; madden, 7.767; without obj. acc., to make disturbance, uproar, 6.857, et a1.; reflex., to be troubled, 6.800. (turba)",7
"turbidus, a, um","turbidus, a, um","adj. (turbō), confused; mingled, foul, 6.296; dismal, dark, 6.534; whirling, 5.696; of the mind, sad, troubled, 4.353; startled, in alarm, 11.814; furious, 11.742.",15
"turbō, inis, m.","turbo, inis, m.","a tornado, whirlwind; storm, tempest, 1.442; whirling cloud, 3.573; wind accompanying the lightning; lightning-blast, 1.45; 6.594; whirling or stormy force, 11.284, et al.; a whirling top, a child's top, 7.378. (cf. turba)",17
"tūreus, a, um","tureus, a, um","adj. (tūs), of frankincense, 6.225.",1
"tūricremus, a, um","turicremus, a, um","adj. (tūs and cremō), incense-burning, 4.453.",1
"turma, ae, f.","turma, ae, f.","a squadron or troop, properly of Roman cavalry; in general, a troop, squadron, 5.560; host, army, 11.503; in turmās, into or in squadrons, 11.599.",8
"Turnus, ī, m.","Turnus, i, m.","the chief of the Rutulians, 7.56, et al.",152
"turpis, e","turpis, e","(adj.), unsightly, unseemly, freq.; squalid, 6.276; foul; besmeared, covered, 5.358; shameful, base, dishonorable, disgraceful, 2.400.",4
"turpō, āvī, ātus, 1, a.","turpo, avi, atus, 1, a.","to make indecent; to soil, disfigure, defile, 12.611. (turpis)",2
"turriger, gera, gerum","turriger, gera, gerum","adj. (turris and gerō), turret-bearing, tower-crowned, 7.631; 10.253.",2
"turris, is, f.","turris, is, f.","a tower, 2.445, et al.",17
"turrītus, a, um","turritus, a, um","adj. (turris), turreted, 8.693; crowned with turrets; with crown of towers, 6.785; tower-like, towering, lofty, 3.536.",3
"tūs, tūris, n.","tus, turis, n.","incense, 1.417, et al.",3
"Tuscī, ōrum, m.","Tusci, orum, m.","the people of Etruria; Etruscans, Etrurians, Tuscans, 11.629, et al.",2
"Tuscus, a, um","Tuscus, a, um","(adj.), Etrurian, Tuscan.",5
"tūtāmen, inis, n.","tutamen, inis, n.","a means of protection; a defense, 5.262. (tūtor)",1
"tūtor, āvī, ātus sum, 1, dep. intens. a.","tutor, avi, atus sum, 1, dep. intens. a.","to protect, defend, 2.677; befriend, 5.343. (tueor)",3
"tūtum, ī, n.","tutum, i, n.","safety, place of safety, 1.391; pl., tūta, ōrum, safe places, safety, security, 11.882.",3
"tūtus, a, um","tutus, a, um","secure, safe; in safety, 1.243; sure, 4.373; (adv.), tūtō, with safety, safely, without danger, 11.381. (tueor)",27
"tuus, a, um","tuus, a, um","your, yours. (tū)",115
"Tӯdeus (dissyll.), eī or eos, m.","Tӯdeus (dissyll.), ei or eos, m.","son of Oeneus and Periboea, and father of Diomed, 6.479.",1
"Tӯdīdēs, ae, m.","Tӯdides, ae, m.","the son of Tydeus, Diomedes or Diomed, 1.97, et al.",7
"tympanum, ī, n.","tympanum, i, n.","a drum, timbrel, tambourine, 9.619.",1
"Tyndaris, idis, f.","Tyndaris, idis, f.","a daughter of Tyndarus; Helen, 2.569.",2
"Typhoëus, a, um","Typhoëus, a, um","adj. (Typhōeus), pertaining to the giant Typhoeus; Typhoian, 1.665.",1
"Typhōeus (trisyll.), eī or eos, m.","Typhoeus (trisyll.), ei or eos, m.","Typhoeus or Typhon, a giant struck down to Hades by the thunderbolt of Jupiter.",2
"tyrannus, ī, m.","tyrannus, i, m.","a sovereign prince, chief, ruler, 4.320; in a bad sense, a despot, tyrant, 1.361.",7
"Tyrēs, ae, m.","Tyres, ae, m.","an Arcadian follower of Pallas, 10.403.",1
"Tyrius, a, um","Tyrius, a, um","adj. (Tyrus), of Tyre; Tyrian or Phoenician, 1.12; subst., Tyrius, iī, m., a Tyrian, 1.574; pl., 1.747.",14
"Tyrrhēnī, ōrum, m.","Tyrrheni, orum, m.","the Tyrrheni, a branch of the Pelasgic race who are said to have settled in Etruria; Etrurians, Tuscans, 8.603.",4
"Tyrrhēnus, a, um","Tyrrhenus, a, um","adj. (Tyrrhēnī), Tyrrhenian; Etruscan, Tuscan, 1.67; subst., Tyrrhēnus, ī, m., a Tuscan, 10.787.",28
"Tyrrhēnus, ī, m.","Tyrrhenus, i, m.","the name of an Etruscan ally of Aeneas, 11.612.",1
"Tyrrhīdae, ārum, m.","Tyrrhidae, arum, m.","the sons of Tyrrheus, 7.484. (Tyrrheus)",2
"Tyrrheus (dissyll.), eī, m., and Tyrrhus, ī, m.","Tyrrheus (dissyll.), ei, m., and Tyrrhus, i, m.","a shepherd of Latium, in the service of Latinus, 7.532, et al.",3
"Tyros (Tyrus), ī, f.","Tyros (Tyrus), i, f.","Tyre, the ancient maritime capital of Phoenicia, 1.346.",4
"vacca, ae, f.","vacca, ae, f.","cow, 6.251; heifer, 4.61.",2
"vacō, āvī, ātus, 1, n.","vaco, avi, atus, 1, n.","to be empty; to be open, 11.179; to be free from, unoccupied by, with abl., 3.123; (impers.), vacat, there is leisure, one has time, 1.373.",4
"vacuus, a, um","vacuus, a, um","adj. (vacō), empty, void, 12.592; open, 5.515; deserted, 2.528; solitary, 2.761; 4.82; without employment, unoccupied; subst., vacuum, ī, n., emptiness, void space, 12.906.",11
"vādō, 3, n.","vado, 3, n.","to go, walk, advance, go on, 2.396, et al.; rush, 2.359; move, speed on, 8.702; imperat., vāde, away, go on! 3.462.",9
"vadōsus, a, um","vadosus, a, um","adj. (vadum), that can be forded; fordable, shallow, 7.728.",1
"vadum, ī, n.","vadum, i, n.","a ford; a shallow, shoal, 1.112; sand-bank, 10.303; shallow water, 11.628; bottom, depth, 1.126; water, tide, stream, 6.320; water of the sea, 5.158; wave, sea, 7.198.",20
"vāgīna, ae, f.","vagina, ae, f.","a scabbard, sheath, 4.579.",5
"vāgītus, ūs, m.","vagitus, us, m.","a wailing, 6.426. (vāgiō)",1
"vagor, ātus sum, 1, dep. n. and a.","vagor, atus sum, 1, dep. n. and a.","to wander about, 6.886; ride to and fro, career about, 5.560; to be rumored round, spread, 2.17. (vagus, wandering)",5
"valēns, entis","valens, entis","strong, vigorous, powerful, 5.431. (valeō)",1
"valeō, uī, itus, 2, n.","valeo, ui, itus, 2, n.","to be strong physically; to be well, vigorous, powerful; to excel, 5.67; to have power, be able; can, 2.492; to avail; can do, 12.798; imperat., vale, farewell! 2.789.",21
"Valerus, ī, m.","Valerus, i, m.","a Latin warrior, 10.752.",1
"validus, a, um","validus, a, um","adj. (valeō), strong, 1.120; vigorous, powerful, 5.15; mighty, 2.50; heavy, massive.",16
"vallēs, is, f.","valles, is, f.","a valley, dell, dale, ravine, vale, 1.186, et al.",14
"vāllō, āvī, ātus, 1, a.","vallo, avi, atus, 1, a.","to surround with a rampart; to encamp around, 11.915. (vāllum)",1
"vāllum, ī","vallum, i","a rampart, breastwork, or fort with palisades, 9.524.",9
