Headword,Headword_Data,Definitions,Occurrences in the Aeneid
ob,ob,"(prep.) owing to, for, on account of, 1.4; for the sake of, 6.660.",16
"obdūcō, dūxī, ductus, 3, a.","obduco, duxi, ductus, 3, a.","to draw or lead towards; draw over, 2.604.",2
"obeō, īvī or iī, itus, īre, irreg. n. and a.","obeo, ivi or ii, itus, ire, irreg. n. and a.","to go towards or to; meet; visit, travel over, traverse, 6.801; survey (with the eye), 10.447; surround, encircle, encompass, 6.58; enter, take part in, engage in, 6.167; undergo, suffer, 10.641.",8
"ōbex, icis, m. and f.","obex, icis, m. and f.","an obstacle; a barrier, 10.377; a bolt, bar, 8.227. (ob and iaciō)",3
"obiciō, iēcī, iectus, 3, a.","obicio, ieci, iectus, 3, a.","to throw against or towards; throw to, 6.421; present, oppose, 2.444; bar against, shut, 9.45; cast upon, 7.480; subject, expose, 4.549; (pass.), to be presented, appear, 5.522; p., obiectus, a, um, thrown towards or against; opposite, projecting, 3.534. (ob and iaciō)",14
"obiectō, āvī, ātus, 1, intens. a.","obiecto, avi, atus, 1, intens. a.","to throw towards, before, or against; to expose to, 2.751. (obiciō)",2
"obiectus, ūs, m.","obiectus, us, m.","a throwing against; projection, opposition, 1.160. (obiciō)",1
"obitus, ūs, m.","obitus, us, m.","a going to; an encountering one's time, day, or death; destruction, death, 4.694. (obeō)",2
"oblīquō, āvī, ātus, 1, a.","obliquo, avi, atus, 1, a.","to bend, turn to one side, veer, 5.16. (oblīquus)",1
"oblīquus, a, um","obliquus, a, um","(adj.), turning sideways; slanting, lying across, 5.274; (fig.), indirect, cowardly, dastardly, 11.337.",2
"oblīvīscor, oblītus sum, 3, dep. n. and a.","obliviscor, oblitus sum, 3, dep. n. and a.","to forget, w. acc. or gen. of object, 2.148; to be heedless, unmindful, forgetful of, 5.174; p., oblītus, a, um, having forgotten; forgetful, 4.528.",9
"oblīvium, iī, n.","oblivium, ii, n.","oblivion, forgetfulness, 6.715. (oblīvīscor)",1
"obloquor, locūtus sum, 3, dep. a. and n.","obloquor, locutus sum, 3, dep. a. and n.","to speak to or against; sing or play in response, w. acc., 6.646.",1
"obluctor, ātus sum, 1, dep. n.","obluctor, atus sum, 1, dep. n.","to strive, struggle, press against, 3.38.",1
"obmūtēscō, mūtuī, 3, inc. n.","obmutesco, mutui, 3, inc. n.","to become speechless or dumb; to be silent, hushed, mute, 4.279.",2
"obnītor, nīxus or nīsus sum, 3, dep. n.","obnitor, nixus or nisus sum, 3, dep. n.","to press, push against, w. dat., 12.105; without an object, push, 4.406; struggle, resist, 4.332; bear up, 5.21; strive, strike against, 5.206.",7
"obnūbō, nūpsī, nūptus, 3, a.","obnubo, nupsi, nuptus, 3, a.","to cover up, 11.77.",1
"oborior, ortus sum, 4, dep. n.","oborior, ortus sum, 4, dep. n.","to arise, spring up; gush, burst forth, 3.492.",4
